Source,Source City,Source Country,Target,Target City,Target Country,Weight
IOM,Isle of Man,United Kingdom,BHX,Birmingham (GB),United Kingdom,3828
LGW,London (GB),United Kingdom,JER,Jersey,United Kingdom,21546
LHR,London (GB),United Kingdom,EDI,Edinburgh,United Kingdom,13860
LHR,London (GB),United Kingdom,GLA,Glasgow (GB),United Kingdom,30996
GLA,Glasgow (GB),United Kingdom,SYY,Stornoway,United Kingdom,3564
INV,Inverness,United Kingdom,SYY,Stornoway,United Kingdom,1836
JER,Jersey,United Kingdom,MAN,Manchester (GB),United Kingdom,196
LHR,London (GB),United Kingdom,MAN,Manchester (GB),United Kingdom,16884
MAN,Manchester (GB),United Kingdom,SOU,Southampton,United Kingdom,200
MAN,Manchester (GB),United Kingdom,SOU,Southampton,United Kingdom,4554
MAN,Manchester (GB),United Kingdom,GLA,Glasgow (GB),United Kingdom,3577
SOU,Southampton,United Kingdom,MAN,Manchester (GB),United Kingdom,200
SOU,Southampton,United Kingdom,MAN,Manchester (GB),United Kingdom,4554
LHR,London (GB),United Kingdom,NCL,Newcastle (GB),United Kingdom,2340
LWK,Shetland Islands,United Kingdom,FIE,Fair Isle,United Kingdom,240
MAN,Manchester (GB),United Kingdom,JER,Jersey,United Kingdom,196
MAN,Manchester (GB),United Kingdom,LHR,London (GB),United Kingdom,17010
NDY,Sanday,United Kingdom,NRL,North Ronaldsay,United Kingdom,104
NDY,Sanday,United Kingdom,SOY,Stronsay,United Kingdom,256
NRL,North Ronaldsay,United Kingdom,NDY,Sanday,United Kingdom,40
NCL,Newcastle (GB),United Kingdom,LHR,London (GB),United Kingdom,2340
SYY,Stornoway,United Kingdom,GLA,Glasgow (GB),United Kingdom,3564
SYY,Stornoway,United Kingdom,INV,Inverness,United Kingdom,1836
SOY,Stronsay,United Kingdom,NDY,Sanday,United Kingdom,32
BHD,Belfast,United Kingdom,GLA,Glasgow (GB),United Kingdom,5346
CAL,Campbeltown,United Kingdom,GLA,Glasgow (GB),United Kingdom,34
EDI,Edinburgh,United Kingdom,LGW,London (GB),United Kingdom,18924
EDI,Edinburgh,United Kingdom,LSI,Shetland Islands,United Kingdom,1020
EDI,Edinburgh,United Kingdom,MAN,Manchester (GB),United Kingdom,4704
GLA,Glasgow (GB),United Kingdom,BHD,Belfast,United Kingdom,5346
GLA,Glasgow (GB),United Kingdom,CAL,Campbeltown,United Kingdom,34
GLA,Glasgow (GB),United Kingdom,IOM,Isle of Man,United Kingdom,2046
IOM,Isle of Man,United Kingdom,GLA,Glasgow (GB),United Kingdom,2046
LGW,London (GB),United Kingdom,EDI,Edinburgh,United Kingdom,18924
LGW,London (GB),United Kingdom,NQY,Newquay,United Kingdom,3100
LHR,London (GB),United Kingdom,MAN,Manchester (GB),United Kingdom,4500
LSI,Shetland Islands,United Kingdom,EDI,Edinburgh,United Kingdom,1054
MAN,Manchester (GB),United Kingdom,EDI,Edinburgh,United Kingdom,4704
MAN,Manchester (GB),United Kingdom,IOM,Isle of Man,United Kingdom,196
MAN,Manchester (GB),United Kingdom,LHR,London (GB),United Kingdom,4500
NQY,Newquay,United Kingdom,LGW,London (GB),United Kingdom,4650
EDI,Edinburgh,United Kingdom,JER,Jersey,United Kingdom,1911
EDI,Edinburgh,United Kingdom,LHR,London (GB),United Kingdom,2990
EDI,Edinburgh,United Kingdom,MAN,Manchester (GB),United Kingdom,999
JER,Jersey,United Kingdom,EDI,Edinburgh,United Kingdom,1911
LHR,London (GB),United Kingdom,EDI,Edinburgh,United Kingdom,2990
MAN,Manchester (GB),United Kingdom,EDI,Edinburgh,United Kingdom,999
EDI,Edinburgh,United Kingdom,LBA,Leeds Bradford,United Kingdom,3577
GLA,Glasgow (GB),United Kingdom,JER,Jersey,United Kingdom,1421
GLA,Glasgow (GB),United Kingdom,MAN,Manchester (GB),United Kingdom,1850
JER,Jersey,United Kingdom,GLA,Glasgow (GB),United Kingdom,1421
LBA,Leeds Bradford,United Kingdom,EDI,Edinburgh,United Kingdom,3577
EDI,Edinburgh,United Kingdom,LHR,London (GB),United Kingdom,16905
LHR,London (GB),United Kingdom,EDI,Edinburgh,United Kingdom,16905
LBA,Leeds Bradford,United Kingdom,LHR,London (GB),United Kingdom,1323
LHR,London (GB),United Kingdom,LBA,Leeds Bradford,United Kingdom,1323
MAN,Manchester (GB),United Kingdom,GLA,Glasgow (GB),United Kingdom,1850
GLA,Glasgow (GB),United Kingdom,MAN,Manchester (GB),United Kingdom,3577
EDI,Edinburgh,United Kingdom,LHR,London (GB),United Kingdom,1060
LHR,London (GB),United Kingdom,MAN,Manchester (GB),United Kingdom,11408
MAN,Manchester (GB),United Kingdom,GLA,Glasgow (GB),United Kingdom,3577
BHD,Belfast,United Kingdom,LHR,London (GB),United Kingdom,35512
MAN,Manchester (GB),United Kingdom,LHR,London (GB),United Kingdom,11408
LHR,London (GB),United Kingdom,EDI,Edinburgh,United Kingdom,1060
JER,Jersey,United Kingdom,LBA,Leeds Bradford,United Kingdom,3087
LBA,Leeds Bradford,United Kingdom,JER,Jersey,United Kingdom,3087
LHR,London (GB),United Kingdom,BHD,Belfast,United Kingdom,35512
LHR,London (GB),United Kingdom,MAN,Manchester (GB),United Kingdom,18963
LHR,London (GB),United Kingdom,MAN,Manchester (GB),United Kingdom,1696
MAN,Manchester (GB),United Kingdom,LHR,London (GB),United Kingdom,1696
MAN,Manchester (GB),United Kingdom,LHR,London (GB),United Kingdom,18963
BHD,Belfast,United Kingdom,LHR,London (GB),United Kingdom,6321
EDI,Edinburgh,United Kingdom,MAN,Manchester (GB),United Kingdom,4900
EDI,Edinburgh,United Kingdom,SYY,Stornoway,United Kingdom,1519
LHR,London (GB),United Kingdom,BHD,Belfast,United Kingdom,6321
MAN,Manchester (GB),United Kingdom,EDI,Edinburgh,United Kingdom,4900
SYY,Stornoway,United Kingdom,EDI,Edinburgh,United Kingdom,1519
LBA,Leeds Bradford,United Kingdom,LHR,London (GB),United Kingdom,11872
LHR,London (GB),United Kingdom,LBA,Leeds Bradford,United Kingdom,11872
BHD,Belfast,United Kingdom,LHR,London (GB),United Kingdom,424
EDI,Edinburgh,United Kingdom,LHR,London (GB),United Kingdom,16376
GLA,Glasgow (GB),United Kingdom,LHR,London (GB),United Kingdom,27342
GLA,Glasgow (GB),United Kingdom,LHR,London (GB),United Kingdom,4784
JER,Jersey,United Kingdom,MME,Teesside,United Kingdom,588
LHR,London (GB),United Kingdom,BHD,Belfast,United Kingdom,424
LHR,London (GB),United Kingdom,EDI,Edinburgh,United Kingdom,16376
LHR,London (GB),United Kingdom,GLA,Glasgow (GB),United Kingdom,27342
LHR,London (GB),United Kingdom,GLA,Glasgow (GB),United Kingdom,4784
LHR,London (GB),United Kingdom,MAN,Manchester (GB),United Kingdom,296
LHR,London (GB),United Kingdom,MME,Teesside,United Kingdom,9010
MAN,Manchester (GB),United Kingdom,LHR,London (GB),United Kingdom,296
MME,Teesside,United Kingdom,JER,Jersey,United Kingdom,588
MME,Teesside,United Kingdom,LHR,London (GB),United Kingdom,9010
ABZ,Aberdeen (GB),United Kingdom,MAN,Manchester (GB),United Kingdom,3577
GLA,Glasgow (GB),United Kingdom,LBA,Leeds Bradford,United Kingdom,3577
GLA,Glasgow (GB),United Kingdom,LHR,London (GB),United Kingdom,2760
LBA,Leeds Bradford,United Kingdom,GLA,Glasgow (GB),United Kingdom,3577
LHR,London (GB),United Kingdom,GLA,Glasgow (GB),United Kingdom,2760
MAN,Manchester (GB),United Kingdom,ABZ,Aberdeen (GB),United Kingdom,3577
ABZ,Aberdeen (GB),United Kingdom,MAN,Manchester (GB),United Kingdom,148
ABZ,Aberdeen (GB),United Kingdom,NWI,Norwich,United Kingdom,3700
MAN,Manchester (GB),United Kingdom,ABZ,Aberdeen (GB),United Kingdom,148
NWI,Norwich,United Kingdom,ABZ,Aberdeen (GB),United Kingdom,3700
LHR,London (GB),United Kingdom,MAN,Manchester (GB),United Kingdom,2875
MAN,Manchester (GB),United Kingdom,LHR,London (GB),United Kingdom,2875
BHX,Birmingham (GB),United Kingdom,EDI,Edinburgh,United Kingdom,7622
EDI,Edinburgh,United Kingdom,BHX,Birmingham (GB),United Kingdom,6734
EXT,Exeter,United Kingdom,JER,Jersey,United Kingdom,222
EXT,Exeter,United Kingdom,JER,Jersey,United Kingdom,85
JER,Jersey,United Kingdom,EXT,Exeter,United Kingdom,222
JER,Jersey,United Kingdom,EXT,Exeter,United Kingdom,85
LGW,London (GB),United Kingdom,BHD,Belfast,United Kingdom,3910
BHD,Belfast,United Kingdom,BHX,Birmingham (GB),United Kingdom,222
BHD,Belfast,United Kingdom,BHX,Birmingham (GB),United Kingdom,15400
BHX,Birmingham (GB),United Kingdom,BHD,Belfast,United Kingdom,3626
BHX,Birmingham (GB),United Kingdom,BHD,Belfast,United Kingdom,12700
BHX,Birmingham (GB),United Kingdom,EDI,Edinburgh,United Kingdom,11050
BHX,Birmingham (GB),United Kingdom,GCI,Guernsey,United Kingdom,85
EDI,Edinburgh,United Kingdom,BHX,Birmingham (GB),United Kingdom,8075
BHD,Belfast,United Kingdom,BLK,Blackpool,United Kingdom,999
GCI,Guernsey,United Kingdom,BHX,Birmingham (GB),United Kingdom,85
BHD,Belfast,United Kingdom,BHX,Birmingham (GB),United Kingdom,296
BHD,Belfast,United Kingdom,LBA,Leeds Bradford,United Kingdom,2300
BHX,Birmingham (GB),United Kingdom,EDI,Edinburgh,United Kingdom,1700
BLK,Blackpool,United Kingdom,BHD,Belfast,United Kingdom,999
EDI,Edinburgh,United Kingdom,BHX,Birmingham (GB),United Kingdom,1800
GCI,Guernsey,United Kingdom,LGW,London (GB),United Kingdom,12400
JER,Jersey,United Kingdom,SOU,Southampton,United Kingdom,2975
LGW,London (GB),United Kingdom,GCI,Guernsey,United Kingdom,12400
BHX,Birmingham (GB),United Kingdom,BHD,Belfast,United Kingdom,296
BHX,Birmingham (GB),United Kingdom,GCI,Guernsey,United Kingdom,1150
BHX,Birmingham (GB),United Kingdom,IOM,Isle of Man,United Kingdom,765
IOM,Isle of Man,United Kingdom,BHX,Birmingham (GB),United Kingdom,765
SOU,Southampton,United Kingdom,JER,Jersey,United Kingdom,5950
JER,Jersey,United Kingdom,LTN,London (GB),United Kingdom,1200
LBA,Leeds Bradford,United Kingdom,BHD,Belfast,United Kingdom,2300
LTN,London (GB),United Kingdom,JER,Jersey,United Kingdom,800
BHD,Belfast,United Kingdom,IOM,Isle of Man,United Kingdom,1850
BHX,Birmingham (GB),United Kingdom,GLA,Glasgow (GB),United Kingdom,1350
BHX,Birmingham (GB),United Kingdom,JER,Jersey,United Kingdom,765
BHD,Belfast,United Kingdom,LBA,Leeds Bradford,United Kingdom,1147
GCI,Guernsey,United Kingdom,SOU,Southampton,United Kingdom,11070
LBA,Leeds Bradford,United Kingdom,BHD,Belfast,United Kingdom,296
SOU,Southampton,United Kingdom,GCI,Guernsey,United Kingdom,9180
GLA,Glasgow (GB),United Kingdom,BHX,Birmingham (GB),United Kingdom,851
GLA,Glasgow (GB),United Kingdom,BHX,Birmingham (GB),United Kingdom,1550
IOM,Isle of Man,United Kingdom,BHD,Belfast,United Kingdom,3552
JER,Jersey,United Kingdom,BHX,Birmingham (GB),United Kingdom,2720
BHX,Birmingham (GB),United Kingdom,GCI,Guernsey,United Kingdom,5000
BRS,Bristol,United Kingdom,IOM,Isle of Man,United Kingdom,148
EDI,Edinburgh,United Kingdom,BHX,Birmingham (GB),United Kingdom,2300
EXT,Exeter,United Kingdom,JER,Jersey,United Kingdom,148
GCI,Guernsey,United Kingdom,BHX,Birmingham (GB),United Kingdom,3100
BHD,Belfast,United Kingdom,JER,Jersey,United Kingdom,592
BHD,Belfast,United Kingdom,SOU,Southampton,United Kingdom,1998
EXT,Exeter,United Kingdom,GCI,Guernsey,United Kingdom,851
IOM,Isle of Man,United Kingdom,LCY,London (GB),United Kingdom,216
JER,Jersey,United Kingdom,BHD,Belfast,United Kingdom,592
JER,Jersey,United Kingdom,LTN,London (GB),United Kingdom,851
JER,Jersey,United Kingdom,LTN,London (GB),United Kingdom,340
BHX,Birmingham (GB),United Kingdom,GCI,Guernsey,United Kingdom,518
GLA,Glasgow (GB),United Kingdom,JER,Jersey,United Kingdom,340
IOM,Isle of Man,United Kingdom,BRS,Bristol,United Kingdom,148
JER,Jersey,United Kingdom,EXT,Exeter,United Kingdom,148
JER,Jersey,United Kingdom,GLA,Glasgow (GB),United Kingdom,340
JER,Jersey,United Kingdom,LGW,London (GB),United Kingdom,1955
LCY,London (GB),United Kingdom,IOM,Isle of Man,United Kingdom,216
LTN,London (GB),United Kingdom,JER,Jersey,United Kingdom,999
LTN,London (GB),United Kingdom,JER,Jersey,United Kingdom,340
SOU,Southampton,United Kingdom,BHD,Belfast,United Kingdom,1998
GCI,Guernsey,United Kingdom,BHX,Birmingham (GB),United Kingdom,518
GCI,Guernsey,United Kingdom,SOU,Southampton,United Kingdom,2720
SOU,Southampton,United Kingdom,GCI,Guernsey,United Kingdom,6630
BHD,Belfast,United Kingdom,NCL,Newcastle (GB),United Kingdom,1147
JER,Jersey,United Kingdom,NCL,Newcastle (GB),United Kingdom,216
NCL,Newcastle (GB),United Kingdom,JER,Jersey,United Kingdom,216
BHD,Belfast,United Kingdom,IOM,Isle of Man,United Kingdom,2916
BHD,Belfast,United Kingdom,NCL,Newcastle (GB),United Kingdom,5562
BRS,Bristol,United Kingdom,IOM,Isle of Man,United Kingdom,296
EXT,Exeter,United Kingdom,JER,Jersey,United Kingdom,2106
GCI,Guernsey,United Kingdom,JER,Jersey,United Kingdom,851
IOM,Isle of Man,United Kingdom,BHD,Belfast,United Kingdom,2916
IOM,Isle of Man,United Kingdom,BRS,Bristol,United Kingdom,148
JER,Jersey,United Kingdom,EXT,Exeter,United Kingdom,3564
JER,Jersey,United Kingdom,LGW,London (GB),United Kingdom,17400
LGW,London (GB),United Kingdom,JER,Jersey,United Kingdom,12400
NCL,Newcastle (GB),United Kingdom,BHD,Belfast,United Kingdom,296
NCL,Newcastle (GB),United Kingdom,BHD,Belfast,United Kingdom,5562
BRS,Bristol,United Kingdom,IOM,Isle of Man,United Kingdom,1134
GCI,Guernsey,United Kingdom,JER,Jersey,United Kingdom,4158
GCI,Guernsey,United Kingdom,SOU,Southampton,United Kingdom,1425
IOM,Isle of Man,United Kingdom,BRS,Bristol,United Kingdom,1350
JER,Jersey,United Kingdom,GCI,Guernsey,United Kingdom,2484
JER,Jersey,United Kingdom,LCY,London (GB),United Kingdom,3848
LCY,London (GB),United Kingdom,JER,Jersey,United Kingdom,2997
SOU,Southampton,United Kingdom,JER,Jersey,United Kingdom,2300
BHX,Birmingham (GB),United Kingdom,GLA,Glasgow (GB),United Kingdom,2380
EDI,Edinburgh,United Kingdom,JER,Jersey,United Kingdom,340
GCI,Guernsey,United Kingdom,JER,Jersey,United Kingdom,2300
GCI,Guernsey,United Kingdom,SOU,Southampton,United Kingdom,2516
GLA,Glasgow (GB),United Kingdom,BHX,Birmingham (GB),United Kingdom,2720
JER,Jersey,United Kingdom,EDI,Edinburgh,United Kingdom,340
JER,Jersey,United Kingdom,GCI,Guernsey,United Kingdom,5400
JER,Jersey,United Kingdom,SOU,Southampton,United Kingdom,1725
SOU,Southampton,United Kingdom,GCI,Guernsey,United Kingdom,2294
BHD,Belfast,United Kingdom,LBA,Leeds Bradford,United Kingdom,1458
EXT,Exeter,United Kingdom,GCI,Guernsey,United Kingdom,1890
GCI,Guernsey,United Kingdom,EXT,Exeter,United Kingdom,1674
LBA,Leeds Bradford,United Kingdom,BHD,Belfast,United Kingdom,324
BHD,Belfast,United Kingdom,BRS,Bristol,United Kingdom,2700
BHX,Birmingham (GB),United Kingdom,IOM,Isle of Man,United Kingdom,1332
BRS,Bristol,United Kingdom,BHD,Belfast,United Kingdom,2916
IOM,Isle of Man,United Kingdom,BHX,Birmingham (GB),United Kingdom,1332
IOM,Isle of Man,United Kingdom,LCY,London (GB),United Kingdom,3700
LCY,London (GB),United Kingdom,IOM,Isle of Man,United Kingdom,4551
BHD,Belfast,United Kingdom,BLK,Blackpool,United Kingdom,432
BHD,Belfast,United Kingdom,JER,Jersey,United Kingdom,800
BHD,Belfast,United Kingdom,LGW,London (GB),United Kingdom,296
BHX,Birmingham (GB),United Kingdom,BHD,Belfast,United Kingdom,200
BLK,Blackpool,United Kingdom,BHD,Belfast,United Kingdom,432
GCI,Guernsey,United Kingdom,LGW,London (GB),United Kingdom,216
JER,Jersey,United Kingdom,BHD,Belfast,United Kingdom,800
LGW,London (GB),United Kingdom,BHD,Belfast,United Kingdom,296
BHX,Birmingham (GB),United Kingdom,JER,Jersey,United Kingdom,148
BHX,Birmingham (GB),United Kingdom,JER,Jersey,United Kingdom,1850
JER,Jersey,United Kingdom,BHX,Birmingham (GB),United Kingdom,296
JER,Jersey,United Kingdom,BHX,Birmingham (GB),United Kingdom,5254
JER,Jersey,United Kingdom,LGW,London (GB),United Kingdom,216
LGW,London (GB),United Kingdom,JER,Jersey,United Kingdom,216
SOU,Southampton,United Kingdom,GCI,Guernsey,United Kingdom,2300
BHD,Belfast,United Kingdom,BLK,Blackpool,United Kingdom,296
BHD,Belfast,United Kingdom,EXT,Exeter,United Kingdom,148
BHX,Birmingham (GB),United Kingdom,GLA,Glasgow (GB),United Kingdom,14134
BHX,Birmingham (GB),United Kingdom,IOM,Isle of Man,United Kingdom,400
BHX,Birmingham (GB),United Kingdom,JER,Jersey,United Kingdom,1350
BLK,Blackpool,United Kingdom,BHD,Belfast,United Kingdom,296
EXT,Exeter,United Kingdom,BHD,Belfast,United Kingdom,148
GLA,Glasgow (GB),United Kingdom,BHX,Birmingham (GB),United Kingdom,8732
IOM,Isle of Man,United Kingdom,BHX,Birmingham (GB),United Kingdom,400
JER,Jersey,United Kingdom,BHX,Birmingham (GB),United Kingdom,200
BHD,Belfast,United Kingdom,BHX,Birmingham (GB),United Kingdom,4165
BHD,Belfast,United Kingdom,BRS,Bristol,United Kingdom,962
BHD,Belfast,United Kingdom,BRS,Bristol,United Kingdom,296
BHD,Belfast,United Kingdom,LBA,Leeds Bradford,United Kingdom,3922
BHD,Belfast,United Kingdom,LGW,London (GB),United Kingdom,10800
BHD,Belfast,United Kingdom,SOU,Southampton,United Kingdom,1554
BHX,Birmingham (GB),United Kingdom,BHD,Belfast,United Kingdom,2295
BHX,Birmingham (GB),United Kingdom,GLA,Glasgow (GB),United Kingdom,1600
BHX,Birmingham (GB),United Kingdom,JER,Jersey,United Kingdom,4000
BRS,Bristol,United Kingdom,BHD,Belfast,United Kingdom,814
BRS,Bristol,United Kingdom,BHD,Belfast,United Kingdom,296
GLA,Glasgow (GB),United Kingdom,BHX,Birmingham (GB),United Kingdom,3900
IOM,Isle of Man,United Kingdom,NCL,Newcastle (GB),United Kingdom,1458
JER,Jersey,United Kingdom,BHX,Birmingham (GB),United Kingdom,2800
JER,Jersey,United Kingdom,NCL,Newcastle (GB),United Kingdom,400
JER,Jersey,United Kingdom,SOU,Southampton,United Kingdom,4588
LBA,Leeds Bradford,United Kingdom,BHD,Belfast,United Kingdom,5476
LGW,London (GB),United Kingdom,BHD,Belfast,United Kingdom,13500
NCL,Newcastle (GB),United Kingdom,IOM,Isle of Man,United Kingdom,1458
NCL,Newcastle (GB),United Kingdom,JER,Jersey,United Kingdom,400
SOU,Southampton,United Kingdom,BHD,Belfast,United Kingdom,1554
SOU,Southampton,United Kingdom,JER,Jersey,United Kingdom,2294
PZE,Penzance,United Kingdom,TSO,Isles of Scilly,United Kingdom,3822
TSO,Isles of Scilly,United Kingdom,PZE,Penzance,United Kingdom,3822
ISC,Isles of Scilly,United Kingdom,PZE,Penzance,United Kingdom,7566
PZE,Penzance,United Kingdom,ISC,Isles of Scilly,United Kingdom,7566
GCI,Guernsey,United Kingdom,SOU,Southampton,United Kingdom,1242
EDI,Edinburgh,United Kingdom,LCY,London (GB),United Kingdom,6913
LCY,London (GB),United Kingdom,EDI,Edinburgh,United Kingdom,6913
DND,Dundee,United Kingdom,LCY,London (GB),United Kingdom,3286
LCY,London (GB),United Kingdom,DND,Dundee,United Kingdom,3286
BOH,Bournemouth,United Kingdom,PIK,Glasgow (GB),United Kingdom,5859
PIK,Glasgow (GB),United Kingdom,BOH,Bournemouth,United Kingdom,5859
LDY,Derry,United Kingdom,STN,London (GB),United Kingdom,340
STN,London (GB),United Kingdom,LDY,Derry,United Kingdom,340
NQY,Newquay,United Kingdom,STN,London (GB),United Kingdom,4216
NQY,Newquay,United Kingdom,STN,London (GB),United Kingdom,5859
STN,London (GB),United Kingdom,NQY,Newquay,United Kingdom,4216
STN,London (GB),United Kingdom,NQY,Newquay,United Kingdom,5859
BLK,Blackpool,United Kingdom,STN,London (GB),United Kingdom,5270
STN,London (GB),United Kingdom,BLK,Blackpool,United Kingdom,5270
LDY,Derry,United Kingdom,STN,London (GB),United Kingdom,6588
STN,London (GB),United Kingdom,LDY,Derry,United Kingdom,6588
PIK,Glasgow (GB),United Kingdom,STN,London (GB),United Kingdom,35380
STN,London (GB),United Kingdom,PIK,Glasgow (GB),United Kingdom,35380
ACI,Alderney,United Kingdom,JER,Jersey,United Kingdom,960
JER,Jersey,United Kingdom,ACI,Alderney,United Kingdom,960
GCI,Guernsey,United Kingdom,STN,London (GB),United Kingdom,85
STN,London (GB),United Kingdom,GCI,Guernsey,United Kingdom,85
